"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 17 13:08:03 GMT 2024","Wed Jan 17 13:08:10 GMT 2024","7185","","test.TestTexIsDisplayed","","test.TestTexIsDisplayed","checkTextIsDisplayed","checkTextIsDisplayed()",""
"broken","Wed Jan 17 13:08:10 GMT 2024","Wed Jan 17 13:08:10 GMT 2024","209","","test.TestTexIsDisplayed","","test.TestTexIsDisplayed","fooTest","fooTest()",""
