"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 17 14:25:30 GMT 2024","Wed Jan 17 14:25:30 GMT 2024","226","","test.TestTexIsDisplayed","","test.TestTexIsDisplayed","fooTest","fooTest()",""
"broken","Wed Jan 17 14:25:28 GMT 2024","Wed Jan 17 14:25:30 GMT 2024","1458","","test.TestTexIsDisplayed","","test.TestTexIsDisplayed","checkTextIsDisplayed","checkTextIsDisplayed()",""
